Stations_id,von_datum,bis_datum,geoCoords,AMR_Key,Stationsname,AMR_Kreis
2790,19700101,19810831,"(49.5592, 7.4134)",6412,Kusel-F�nfbirken,Frankfurt a.m.
2798,19750101,19980531,"(51.6, 6.15)",5113,Laarbruch,Dusseldorf-ruhr
2812,19500101,20221030,"(48.3647, 7.828)",8311,Lahr,Freiburg i.br.
2829,19690101,20180710,"(48.0772, 10.9144)",9162,Landsberg_(Flugplatz),Munchen
2830,19500101,19671231,"(48.0349, 10.8709)",9162,Landsberg/Lech,Munchen
2843,19900719,20151231,"(50.0075, 8.6547)",6412,Langen_(BZ),Frankfurt a.m.
2886,19700101,20221030,"(48.2175, 9.9097)",8421,Laupheim,Ulm
2889,19710101,19910930,"(51.6323, 10.4737)",15085,"Lauterberg,_Bad_(A)",Harz
2897,19900830,20221030,"(50.5808, 9.2857)",6412,Lautertal-H�rgenau,Frankfurt a.m.
2905,19690101,20221030,"(48.1849, 10.8507)",9162,Lechfeld,Munchen
2907,19741101,20221030,"(54.7903, 8.9514)",2000,Leck,Hamburg
2912,19560301,19741130,"(54.7419, 9.8791)",2000,Lehbek,Hamburg
2920,19780901,19970630,"(48.7654, 12.5121)",9362,Leiblfing,Regensburg
2923,19550101,19700531,"(47.9116, 10.6124)",9162,Leinau,Munchen
2925,19570101,20221030,"(51.3932, 10.3123)",3159,Leinefelde,Gottingen
2926,19710101,19891231,"(48.4333, 10.2333)",9162,Leipheim_(Flugplatz),Munchen
2931,19570801,19720430,"(51.392, 12.3962)",14713,Leipzig-Mockau,Leipzig
2947,19620401,20221030,"(51.1333, 8.0348)",5970,Lennestadt-Theten,Siegen
2950,19620401,20061231,"(54.219, 10.8844)",2000,Lensahn,Hamburg
2953,19610101,20221030,"(47.8597, 8.2308)",8336,Lenzkirch-Ruhb�hl,Lorrach
2954,19870401,20041228,"(47.8919, 8.1788)",8311,Lenzkirch-Saig,Freiburg i.br.
2985,19910101,20221030,"(50.9383, 14.2094)",14612,Lichtenhain-Mittelndorf,Dresden
3001,19650101,19900531,"(48.0674, 7.677)",8311,Liliental,Freiburg i.br.
3016,19700601,19880430,"(47.598, 9.8878)",8436,Lindenberg/Allg�u,Ravensburg
3017,19840701,20100430,"(49.68, 8.7823)",8222,Lindenfels,Mannheim
3018,19730401,20051231,"(49.7117, 8.7804)",8222,Lindenfels-Winterkasten,Mannheim
3031,19801201,20221030,"(51.6336, 8.3945)",5113,Lippstadt-B�kenf�rde,Dusseldorf-ruhr
3034,19520301,20221030,"(50.4505, 11.635)",9464,"Lobenstein,_Bad",Hof
3046,19800201,19910331,"(52.7333, 7.7333)",5515,L�ningen-Schnetlage,Munster
3082,19670101,19741231,"(51.9333, 13.8833)",11000,L�bben,Berlin
3083,19911001,20221030,"(51.9267, 13.8797)",11000,L�bben-Blumenfelde,Berlin
3085,19500301,19850228,"(53.8773, 10.6915)",2000,L�beck,Hamburg
3086,19850301,20221030,"(53.8025, 10.6989)",2000,L�beck-Blankensee,Hamburg
3093,19541201,20221030,"(52.9724, 11.1374)",2000,L�chow,Hamburg
3101,19500101,19950930,"(51.7694, 7.4128)",5113,L�dinghausen,Dusseldorf-ruhr
3113,19910101,19910731,"(50.7663, 10.7201)",16054,Luisenthal/Ohra,Suhl
3135,19550501,19830331,"(49.0643, 9.582)",8111,Mainhardt-Ziegelbronn,Stuttgart
3138,19790101,19890216,"(49.9798, 8.1668)",6412,Mainz-Finthen,Frankfurt a.m.
3139,19831101,20041231,"(48.2166, 11.2965)",9162,Maisach-Gernlinden,Munchen
3147,19530101,20221030,"(48.7548, 12.2118)",9162,Mallersdorf-Pfaffenberg-Oberlindhart,Munchen
3155,19611101,20221030,"(50.1015, 6.8009)",7211,Manderscheid-Sonnenhof,Trier
3158,19850101,20221030,"(52.5468, 14.5453)",11000,Manschnow,Berlin
3160,19520101,19801231,"(51.6084, 11.4139)",14713,Vatterode-Gr�fenstuhl,Leipzig
3166,19550801,20221030,"(50.6511, 13.1469)",14511,Marienberg,Chemnitz
3167,19621201,20221030,"(50.6621, 7.9603)",5970,"Marienberg,_Bad",Siegen
3204,19831101,20221030,"(50.7335, 10.8815)",16054,Martinroda,Suhl
3212,19610101,20021231,"(50.3249, 7.23)",7111,Mayen,Koblenz
3222,19610101,19781231,"(52.3411, 9.1403)",3241,Meerbeck,Hannover
3228,19790801,19970331,"(51.0976, 7.667)",5970,Meinerzhagen_(A),Siegen
3231,19790101,20221030,"(50.5611, 10.3771)",16054,Meiningen,Suhl
3234,19560601,20221030,"(51.1294, 13.4328)",14612,Garsebach_bei_Mei�en,Dresden
3236,19860701,20011231,"(52.2147, 8.3833)",5711,Melle,Bielefeld/paderborn
3244,19610101,20221030,"(47.9821, 10.1384)",9162,Memmingen,Munchen
3245,19690101,20021129,"(47.9833, 10.2333)",9162,Memmingen_(Flugplatz),Munchen
3246,19841101,20070614,"(50.3667, 7.3167)",7111,Mendig,Koblenz
3253,19610101,20061231,"(47.8309, 8.0698)",8311,Sankt_Blasien-Menzenschwand,Freiburg i.br.
3254,19730101,20221030,"(52.7155, 7.3176)",5515,Meppen,Munster
3256,19850101,19891031,"(48.0167, 7.6667)",8311,Merdingen,Freiburg i.br.
3265,19530101,19621231,"(49.922, 9.2872)",6412,Mespelbrunn,Frankfurt a.m.
3274,19921001,20111231,"(49.507, 6.5215)",10041,Mettlach-Orscholz_(Kurort),Saarbrucken
3284,19870101,20221030,"(49.6692, 9.0085)",6412,Michelstadt,Frankfurt a.m.
3287,19871001,20221030,"(49.7177, 9.0997)",6412,Michelstadt-Vielbrunn,Frankfurt a.m.
3289,19721001,20221030,"(50.7281, 11.7838)",16051,Schmieritz-Weltwitz,Erfurt
3291,19801101,20031231,"(49.712, 9.2258)",6412,Miltenberg,Frankfurt a.m.
3300,19740501,19930531,"(50.2285, 9.1064)",6412,Mittel-Gr�ndau,Frankfurt a.m.
3317,19750701,19840930,"(53.6128, 10.6943)",2000,M�lln,Hamburg
3348,19900701,20221030,"(51.7209, 9.8351)",3159,Moringen-Lutterbeck,Gottingen
3366,19530101,20221030,"(48.279, 12.5024)",9162,M�hldorf,Munchen
3369,19800101,20060315,"(53.6, 10.4833)",2000,M�hlenrade,Hamburg
3379,19540601,20221030,"(48.1632, 11.5429)",9162,M�nchen-Stadt,Munchen
3385,19550101,19990331,"(48.166, 11.5011)",9162,M�nchen-Nymphenburg,Munchen
3419,19621101,19891031,"(50.5852, 11.4928)",16051,Leutenberg-Steinsdorf,Erfurt
3478,19760701,20050816,"(53.5468, 13.1914)",13071,Neubrandenburg,Mecklenburgische seenplatte
3484,19730101,20221030,"(48.7085, 11.2147)",9162,Neuburg/Donau_(Flugplatz),Munchen
3485,19910601,20221030,"(48.3115, 10.3773)",9162,Neuburg/Kammel-Langenhaslach,Munchen
3493,19800701,19900731,"(47.8333, 7.5833)",8311,Neuenburg-Zinken,Freiburg i.br.
3513,19550101,20221030,"(50.5003, 11.1345)",9463,Neuhaus_am_Rennweg,Coburg
3518,19710101,19931231,"(47.976, 8.9101)",8326,Neuhausen_ob_Eck,Villingen-schwenningen
3534,19810301,20221030,"(49.2713, 11.4881)",9564,Neumarkt-H�henberg,Nurnberg
3540,19920901,20221030,"(50.8446, 7.372)",5315,Neunkirchen-Seelscheid-Krawinkel,Koln
3541,19620801,19920229,"(50.8956, 7.3081)",5315,Neunkirchen-Seelscheid-Meisenbach,Koln
3542,19751101,19950531,"(49.35, 7.1667)",10041,Neunkirchen/Saar,Saarbrucken
3545,19700101,20221030,"(49.344, 7.2297)",10041,Neunkirchen-Wellesweiler,Saarbrucken
3552,19610101,20190408,"(52.9037, 12.8071)",11000,Neuruppin,Berlin
3576,19760101,20021031,"(49.3478, 8.1822)",8222,Neustadt/Weinstra�e_(Heidehof),Mannheim
3578,19811001,20061231,"(48.9831, 12.1444)",9362,Regensburg-Burgweinting,Regensburg
3590,19610101,20050930,"(50.2335, 8.8923)",6412,Nidderau-Windecken,Frankfurt a.m.
3595,19660501,20030630,"(50.4107, 7.808)",7111,Niederelbert,Koblenz
3623,19690101,20221030,"(50.8294, 6.6601)",5334,N�rvenich_(Flugplatz),Aachen
3639,19740101,20221030,"(53.7647, 8.6584)",4011,Nordholz_(Flugplatz),Bremen
3651,19920402,20221030,"(51.7521, 9.945)",3159,Northeim-St�ckheim,Gottingen
3657,19830601,20150831,"(50.9081, 7.5543)",5970,N�mbrecht_auf_dem_Lindchen,Siegen
3658,19800701,20050131,"(50.9095, 7.5725)",5970,N�mbrecht-Distelkamp,Siegen
3661,19600101,19780331,"(49.45, 11.0667)",9564,N�rnberg_(Hochhaus),Nurnberg
3667,19750101,20221030,"(49.4258, 11.2539)",9564,N�rnberg-Netzstall,Nurnberg
3671,19550101,19910331,"(48.6321, 9.3261)",8111,N�rtingen,Stuttgart
3694,19500601,19811217,"(50.7005, 10.7256)",16054,Oberhof,Suhl
3702,19720101,20061231,"(47.878, 7.8288)",8311,M�nstertal-Oberm�nstertal,Freiburg i.br.
3705,19820701,20041231,"(48.3147, 8.5735)",8326,Oberndorf/Neckar-Aistaig,Villingen-schwenningen
3722,19760401,20111119,"(48.2443, 11.5528)",9162,Oberschlei�heim,Munchen
3727,19831001,20010930,"(47.5619, 10.0313)",8436,Oberstaufen-Kalzhofen,Ravensburg
3744,19711201,19750630,"(51.6018, 9.5383)",5711,Oberweser-Gieselwerder,Bielefeld/paderborn
3751,19880601,19971231,"(48.0449, 9.8822)",8421,Ochsenhausen-Mittelbuch,Ulm
3752,19590901,19820930,"(50.03, 11.8074)",9462,Ochsenkopf,Bayreuth
3753,19640101,19930331,"(52.2042, 7.1784)",5515,Ochtrup,Munster
3775,19780101,19981216,"(50.1029, 8.7468)",6412,Offenbach/Main_(Zentrallabor),Frankfurt a.m.
3776,19571101,19951031,"(50.0946, 8.7546)",6412,Offenbach/M._(Stadt),Frankfurt a.m.
3777,19580101,20031231,"(48.4593, 7.9255)",8111,Offenburg,Stuttgart
3788,19600601,19851231,"(50.8646, 14.7628)",14612,Olbersdorf,Dresden
3791,19690101,20121001,"(53.1763, 8.1824)",4011,Oldenburg,Bremen
3815,19520201,20101130,"(52.2553, 8.0534)",3404,Osnabr�ck,Osnabruck
3818,19560101,19661231,"(52.7167, 11.7333)",15003,Osterburg,Magdeburg
3821,19840801,20221030,"(51.0873, 11.9293)",16051,Osterfeld,Erfurt
3825,19610101,19771231,"(49.5033, 7.2773)",10041,Osterhof,Saarbrucken
3836,19720501,20221030,"(50.4538, 10.2211)",16054,Ostheim_v.d._Rh�n,Suhl
